cod_detector,id_carril,fecha,hora,dsc_avenida,dsc_int_anterior,dsc_int_siguiente,latitud,longitud,velocidad
306,1,2025-04-01,23:55:00.0,Av Italia,Avelino Miranda,Bv Artigas,-34.894478,-56.163857,45.0
306,1,2025-04-01,23:55:00.0,Bv Batlle y Ordonez,Cabrera,8 de Octubre,-34.879770,-56.147220,37.0
111,1,2025-04-01,23:55:00.0,Gral Flores,Gallinal,Bv Artigas,-34.871100,-56.175180,32.0
206,1,2025-04-01,23:55:00.0,Bv Batlle y Ordonez,Joanico,8 de Octubre,-34.878960,-56.148300,36.0
107,1,2025-04-01,23:55:00.0,Bv Artigas,Palmar,Canaro,-34.899594,-56.164421,65.0
107,1,2025-04-01,23:55:00.0,Solano Lopez,Rivera,Rambla,-34.897400,-56.120289,37.0
306,1,2025-04-01,23:55:00.0,L A de Herrera,Setembrino Pereda,Varela S,-34.869125,-56.166318,39.0
305,1,2025-04-01,23:55:00.0,Bv Artigas,Cufre,Gral Flores,-34.870230,-56.173220,103.0
107,1,2025-04-01,23:55:00.0,8 de Octubre,Sanguinetti,Bv Batlle y Ordonez,-34.878660,-56.147140,29.0
206,1,2025-04-01,23:55:00.0,Varela,Bv Batlle y Ordonez,L A de Herrera,-34.869993,-56.165974,31.0
107,1,2025-04-01,23:55:00.0,Rambla,Morales,Jackson,-34.914494,-56.173994,35.0
206,1,2025-04-01,23:55:00.0,Ponce,Ricaldoni,Rivera,-34.902150,-56.160830,68.0
107,1,2025-04-01,23:55:00.0,8 de Octubre,Bv Batlle y Ordonez,Sanguinetti,-34.878660,-56.146580,25.0
107,1,2025-04-01,23:55:00.0,Bv Artigas,Palmar,Rivera,-34.900440,-56.164380,36.0
205,1,2025-04-01,23:55:00.0,Soca,Brito del Pino,Rivera,-34.902187,-56.156460,25.0
206,1,2025-04-01,23:55:00.0,Raissignier,Cno Carrasco,8 de Octubre,-34.871110,-56.134320,43.0
305,1,2025-04-01,23:55:00.0,Aramburu,Terra,Gral Flores,-34.882790,-56.181890,0.0
306,1,2025-04-01,23:55:00.0,Hocquart,Justicia,Bv Artigas,-34.888996,-56.166795,59.0
114,1,2025-04-01,23:55:00.0,Acevedo Diaz,Garibaldi,Ferrer Serra,-34.894152,-56.167498,38.0
206,1,2025-04-01,23:55:00.0,Suarez,Lucas Obes,Bv Artigas,-34.871423,-56.196600,32.0
107,1,2025-04-01,23:55:00.0,Comercio,Joanico,8 de Octubre,-34.875750,-56.143440,0.0
306,1,2025-04-01,23:55:00.0,Larranaga,Monte Caseros,Joanico,-34.879760,-56.152480,42.0
205,1,2025-04-01,23:55:00.0,Gral Flores,Blandengues,Aramburu,-34.882920,-56.182840,34.0
306,1,2025-04-01,23:55:00.0,Canelones,Acevedo Diaz,Bv Artigas,-34.906735,-56.164427,31.0
306,1,2025-04-01,23:55:00.0,Bv Espana,Libertad,Bv Artigas,-34.911249,-56.162091,87.0
206,1,2025-04-01,23:55:00.0,Bv Artigas,Bv Espana,Canelones,-34.907443,-56.163561,44.0
107,1,2025-04-01,23:55:00.0,Benito Blanco,21 de Setiembre,Bv Espana,-34.915828,-56.149900,30.0
